D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
67.1885	7.76201	1119.82	6351.12	1843.48	405.846	8620.88	335.137	44.554	29.0624	74	9790	100	
151.32	12.0756	1026.5	6378.82	2744.59	880.354	12624.7	395.5	56.6268	63.3012	74	10690	100	
93.8445	5.70919	420.237	1755.27	1404.41	219.938	3380.13	152.078	32.6662	23.9875	74	8130	100	
63.9332	3.7626	350.089	942.827	925.989	204.36	2073.53	88.8517	25.003	22.9882	74	7640	100	
31.841	2.83333	665.511	3282.44	1014.64	608.224	4910.93	182.648	29.7633	39.8174	74	7790	100	
64.0503	4.20244	395.382	638.533	799.646	227.788	1674.01	62.1759	22.4219	23.7508	74	7830	100	
139.91	14.5896	1794.23	14338	5030.43	911.96	22589.2	881.081	106.488	59.666	74	11700	100	
59.7038	3.10434	334.127	1157.2	1030.25	193.499	2381.02	107.325	26.8122	22.6385	74	7120	100	
37.5435	2.64896	469.355	1716.89	758.957	224.54	2700.97	108.32	24.0926	23.5415	74	7270	100	
72.4551	4.08164	372.7	1337.24	1147.02	203.954	2688.59	120.917	28.6536	23.2479	74	7490	100	
113.417	8.39315	690.52	3181.58	1803.18	316.16	5318.26	214.635	38.9877	26.5705	74	9480	100	
107.495	10.5072	1165.42	7475.42	2510.63	434.936	10429.8	422.147	55.1662	29.9841	74	10580	100	
72.9936	9.8733	1494.65	10152.5	2621.16	517.265	13307.5	530.46	61.0472	32.1965	74	10868	100	
150.954	9.24465	569.515	2562.19	1957.51	276.013	4810.86	207.004	40.4422	25.8437	74	9350	100	
34.5993	1.4419	280.592	556.078	666.834	174.866	1397.81	62.3279	21.1346	21.8237	74	6360	100	
43	12	3512.44	30436	5466.33	870.678	36802	1489.67	127	39.0491	74	12205	100	
62.4147	5	517.152	375.453	689.346	215.276	1328.47	36.3733	19.3733	21.465	74	8118	100	
386	22	1044.67	7438	3797	313.558	11570	574	64.3333	22.3998	74	12205	100	
5	-4.7924e-14	197.287	178.573	386.946	134.773	700.586	34.3733	15.7432	19.04	74	5269	100	
